Date,Forecasted_Volatility,Forecasted_Variance
2025-09-03,0.022156094311107932,0.0004908925151227093
2025-09-04,0.02236502262852713,0.0005001942371745307
2025-09-05,0.022567937106297384,0.0005093117852337944
2025-09-06,0.02276507865006164,0.0005182488059434923
2025-09-07,0.022956673838845344,0.0005270088737431263
2025-09-08,0.023142936120949212,0.0005355954922983358
2025-09-09,0.023324066881704398,0.0005440120959022199
2025-09-10,0.023500256399641956,0.0005522620508489127
2025-09-11,0.023671684705148514,0.0005603486567799621
2025-09-12,0.023838522353620207,0.0005682751480040503
2025-09-13,0.024000931123408186,0.0005760446947905837
2025-09-14,0.02415906464740864,0.00058366040463767
2025-09-15,0.024313068985938182,0.0005911253235149891
2025-09-16,0.024463083147511378,0.0005984424370820553
2025-09-17,0.024609239563268874,0.000605614671882358
2025-09-18,0.024751664520065275,0.0006126448965138582
2025-09-19,0.02489047855659488,0.0006195359227763094
2025-09-20,0.02502579682639219,0.0006262905067958614
2025-09-21,0.025157729431079367,0.000632911350127397
2025-09-22,0.025286381726831595,0.0006394011008350427
2025-09-23,0.02541185460668475,0.0006457623545512848
2025-09-24,0.025534244761009,0.0006519976555151156
2025-09-25,0.02565364491821042,0.0006581094975896234
2025-09-26,0.02577014406749477,0.0006641003252594357
2025-09-27,0.025883827665328242,0.0006699725346084116
2025-09-28,0.0259947778270555,0.0006757284742779764
2025-09-29,0.02610307350498178,0.0006813704464064818
2025-09-30,0.026208790654090958,0.0006869007075499656
2025-10-01,0.026312002386452486,0.0006923214695846813
2025-10-02,0.026412779115264594,0.0006976349005917576
